paper_id,title,year,in_scope,scope_conf,scope_reason
w3308,Incentive Conflict in the International Regulatory Agreement on Risk-Based Analysis,1990,False,high,This paper analyzes theoretical incentive conflicts and political motivations in regulatory negotiation rather than empirically testing the causal effect of a specific policy on financial outcomes.
w3309,Real Rents and Household Formation: The Effect of the 1986 Tax Reform Act,1990,False,high,"The primary research question concerns household formation decisions driven by rental costs and demographics, not the causal effect of the 1986 Tax Reform Act itself on financial markets, firms, or investors."
w3407,Views on the Likelihood of Financial Crisis,1990,False,high,This is a purely theoretical/descriptive review of financial crisis trends and risks in the 1980s with no empirical causal estimation of a specific government policy's effects.
w3446,Assuming The Can Opener: Hedonic Wage Estimates and the Value of Life,1990,False,high,This is a theoretical and methodological critique of hedonic wage estimation techniques rather than an empirical study of the causal effect of a specific government policy on markets or firms.
w3522,The Economics of Seasonal Cycles,1990,False,high,This is a theoretical macroeconomic paper about seasonal cycles without empirical testing of any specific government policy's causal effect on financial markets or firms.
h0024,Stature and Living Standards in the United States,1991,False,high,"This paper studies anthropometric measures and living standards in historical context without examining the causal effect of any specific government law, regulation, or public policy on financial markets, firms, or investors."
w3749,"Mergers, Deregulation and Cost Savings in the U.S. Rail Industry",1991,True,high,"The paper's primary research question is estimating the causal effect of U.S. rail deregulation (a specific government policy) on firm costs and productivity, with empirical analysis using a translog cost function on panel data."
w3754,Real Interest Rates and the Savings and Loan Crisis: The Moral Hazard Premium,1991,True,high,The paper's primary research question examines the causal effect of deposit insurance and regulatory forbearance (specific government policies) on real interest rates and Treasury yields in financial markets.
w3961,"Bank Exposure, Capital and Secondary Market Discounts on the Developing Country Debt",1992,False,high,"The paper studies how bank exposure and capital affect secondary market pricing of developing country debt, but does not examine the causal effect of a specific government law, regulation, or public policy—it only mentions deposit insurance as a potential explanation rather than as the primary policy intervention being tested."
w4051,Noncooperative Equilibria in Regional Environmental Policies When Plant Locations are Endogenous,1992,False,high,This is a purely theoretical paper presenting a game-theoretic model of regional environmental policy competition without any empirical test of actual government policies' causal effects on financial outcomes.
w4069,Strategic Trade Policy With Incompletely Informed Policymakers,1992,False,high,"This is a purely theoretical paper analyzing strategic trade policy with incomplete information using game-theoretic models, with no empirical test of actual government policy effects on financial markets, firms, or investors."
w4096,Investment and Research and Development at the Firm Level: Does the Source of Financing Matter?,1992,False,high,"This paper studies the relationship between firm financing sources and investment/R&D decisions, with no specific government law, regulation, or public policy as the primary causal variable being tested."
w4131,Host Country Competition and Technology Transfer by Multinationals,1992,False,high,"The paper's primary question concerns how market competition affects multinational firm behavior and technology transfer, not the causal effect of a specific government law, regulation, or public policy."
w4223,Fiscal Policy and Economic Growth,1992,False,high,"The paper studies the causal effect of general fiscal policy (government spending and taxation) on macroeconomic growth rather than the effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w4233,Specification of Policy Rules and Performance Measures in Multicountry Simulation Studies,1992,False,high,"This is a purely theoretical paper about methodological approaches to modeling policy rules in simulations, with no empirical test of actual causal effects of specific government policies on financial outcomes."
w4236,The Recent Failure of U.S. Monetary Policy,1992,False,high,"This paper analyzes the effectiveness of Federal Reserve monetary policy operations without testing the causal effect of a specific government law, regulation, or public policy on financial markets or firms."
w4305,The Equity of Social Services Provided to Children and Senior Citizens,1993,False,high,"This paper examines distributional equity of government transfer payments across age groups without estimating the causal effect of any specific policy intervention on financial markets, firms, or investors."
w4532,Does Central Bank Intervention Increase the Volatility of Foreign Exchange Rates?,1993,True,high,"The paper's primary research question is the causal effect of a specific government policy (central bank intervention) on financial markets (foreign exchange rate volatility), tested empirically with GARCH models."
w4594,Health Insurance and Early Retirement: Evidence from the Availability of Continuation Coverage,1993,False,high,"The primary research question concerns the causal effect of health insurance continuation laws on individual retirement decisions, not on financial markets, firms, or investors."
w4695,Issues in the Industrial Organization of the Market for Physician Services,1994,False,high,This is a theoretical paper analyzing market structure and information asymmetries in physician services without empirical testing of any specific government policy's causal effect on financial outcomes.
w4801,Over-the-Counter Derivatives and Systemic Risk to the Global Financial System,1994,False,high,The paper primarily describes and theoretically analyzes systemic risk concepts and OTC derivatives markets without empirically testing the causal effect of a specific government law or regulation on financial outcomes.
w4822,Optimal Regulation of Multiply-Regulated Industries: The Case of Physician Services,1994,False,high,This is a purely theoretical paper modeling regulatory coordination failures in physician services without empirical testing of causal effects of specific policies on financial outcomes.
w4885,"Fiscal Policies, Capital Formation, and Capitalism",1994,False,high,This is a theoretical/conceptual lecture examining the economic effects of fiscal policies on capital accumulation and welfare without empirical testing of specific policy interventions on financial markets or firms.
