paper_id,source,title,in_scope,confidence,reason
w20476,nber,Strategic News Releases in Equity Vesting Months,False,high,"The primary research question concerns CEO behavior and strategic timing of news releases, not the causal effect of a government law, regulation, or public policy on financial markets or firms."
w32043,nber,Stated Preference Estimates of the Average Social Cost of Carbon,False,high,"This paper estimates willingness-to-pay for climate policy using stated preferences rather than examining the causal effect of an actual implemented government law, regulation, or policy on financial outcomes."
w10431,nber,"The Yield Curve, Recessions and the Credibility of the Monetary Regime: Long Run Evidence 1875-1997",False,high,"This paper examines the predictive relationship between yield curve spreads and economic growth, which is a descriptive/correlational analysis of market behavior rather than an estimation of causal effects from a specific government policy intervention."
w22475,nber,International Evidence on Long Run Money Demand,False,high,This is a purely theoretical/empirical macroeconomic study of money demand relationships with no primary research question about the causal effect of a specific government policy on financial markets or firms.
w16883,nber,Monetary Policy as Financial-Stability Regulation,False,high,This is a purely theoretical paper developing a model without empirical testing of a specific government policy's causal effect on financial markets or firms.
10.1016/j.jfineco.2015.09.012,jfe,Can information be locked up? Informed trading ahead of macro-news announcements,False,high,The paper studies informed trading behavior ahead of policy announcements rather than estimating the causal effect of a specific government policy on financial markets.
w17963,nber,"Trade, Variety, and Immigration",False,high,"This paper studies international trade and immigration flows rather than the causal effect of a specific government law or regulation on financial markets, firms, or investors."
w11977,nber,The Health Care Safety Net and Crowd-Out of Private Health Insurance,False,high,"The paper studies health insurance coverage decisions, not the causal effect of government policy on financial markets, firms, or investors."
w20181,nber,Dominated Choices and Medicare Advantage Enrollment,False,high,"The paper studies behavioral decision-making by Medicare beneficiaries rather than estimating the causal effect of a specific government policy on financial markets, firms, or investors."
w30793,nber,Risk Management and the Autonomy of Labor,False,high,"This paper studies worker behavior and risk management in labor markets without a primary focus on estimating the causal effect of a specific government law, regulation, or public policy."
10.1111/j.1540-6261.1993.tb05127.x,jf,Measuring and Testing the Impact of News on Volatility,False,high,This paper studies how news impacts stock market volatility using ARCH models with no government policy intervention as the primary research question.
10.1016/j.jfineco.2021.06.042,jfe,Venture capital contracts,False,high,"This paper studies the causal effects of private venture capital contract terms on startup outcomes, not the causal effect of a specific government law, regulation, or public policy."
w6331,nber,The Careers of Modern Artists: Evidence from Auctions of Contemporary Paintings,False,high,"This paper studies the relationship between artist age and painting value in art auctions, with no government intervention or policy as the primary research question."
w30151,nber,Tax Knowledge and Tax Manipulation: A Unifying Model,False,high,"This is primarily a theoretical paper analyzing taxation and taxpayer education with incomplete information, lacking empirical estimation of a specific government policy's causal effect on financial markets, firms, or investors."
w9494,nber,Micro-Simulation of Social Security Reforms in Belgium,False,high,"Paper studies Social Security (pension policy) reforms' budgetary impact, not causal effects on financial markets, firms, or investors."
w21715,nber,How Strong are Ethnic Preferences?,False,high,"This paper studies ethnic preferences through lab experiments without examining causal effects of any specific government law, regulation, or public policy on financial markets, firms, or investors."
10.1111/jofi.12088,jf,International Asset Pricing with Recursive Preferences,False,high,"This is a purely theoretical paper using general equilibrium modeling with no empirical test of any specific government law, regulation, or public policy's causal effect."
w16946,nber,U.S. Intervention During the Bretton Woods Era: 1962-1973,False,high,Paper describes the Bretton Woods system and U.S. dollar liabilities without establishing a primary research question about the causal effect of a specific government policy intervention on financial markets or firms.
w25559,nber,The Endowment Model and Modern Portfolio Theory,False,high,This is a theoretical portfolio-choice model paper with no empirical test of a specific government policy's causal effect on financial markets or firms.
w20314,nber,The Twin Ds: Optimal Default and Devaluation,False,high,"This is a theoretical model paper studying sovereign default and devaluation policy decisions rather than empirically testing the causal effect of a specific government law, regulation, or public policy on financial markets or firms."
w18020,nber,Why Do Firms Own Production Chains?,False,high,"This paper investigates firm behavior regarding vertical integration in production chains, with no primary research question about causal effects of government policy on markets or firms."
w28492,nber,Preparing for a Pandemic: Accelerating Vaccine Availability,False,high,"Paper analyzes government procurement decisions and vaccine distribution strategy without examining the causal effect of a specific policy on financial markets, firms, or investors."
w17347,nber,Trade Wars and Trade Talks with Data,False,high,"This is a theoretical modeling paper addressing optimal tariff questions rather than estimating the causal effect of a specific implemented government policy on financial markets, firms, or investors."
10.1093/rfs/hhae060,rfs,The Imitation Game: The Imitation Game: How Encouraging Renegotiation Makes Good Borrowers Bad,True,high,The paper's primary research question examines the causal effect of a tax rule change (a specific government policy) on borrower behavior in commercial mortgage markets.
w5238,nber,The Demand for Illicit Drugs,False,high,"The paper studies drug demand and consumption behavior, not the causal effects of government policy on financial markets, firms, or investors."
w12529,nber,High School Alcohol Use and Young Adult Labor Market Outcomes,False,high,"This paper studies the personal behavioral effects of alcohol use on individual labor outcomes, not the causal effect of a government law, regulation, or public policy on financial markets, firms, or investors."
10.1093/rfs/hhl028,rfs,Analyst Behavior Following IPOs: The “Bubble Period” Evidence,False,high,"The paper examines analyst behavior and coverage patterns following IPOs, with the quiet period as background context, but does not estimate the causal effect of a specific government law or regulation on financial markets or firms."
w18656,nber,Youth Depression and Future Criminal Behavior,False,high,"This paper studies the relationship between mental health and criminal behavior, not the causal effect of government policy on financial markets, firms, or investors."
w17291,nber,A Gains from Trade Perspective on Macroeconomic Fluctuations,False,high,This is a purely theoretical macroeconomic paper with no empirical test of any government policy's causal effect on financial markets or firms.
w6178,nber,Retirement Wealth Accumulation and Decumulation: New Developments and Outstanding Opportunities,False,high,The paper describes retirement savings behavior and policy context but does not focus on estimating the causal effect of a specific government policy intervention.
w25908,nber,Business Groups and the Incorporation of Firm-specific Shocks into Stock Prices,False,high,"This paper studies the relationship between business group affiliation and stock price behavior, which is primarily about private firm/market structure rather than the causal effect of a specific government policy or regulation."
w17263,nber,The Balanced U.S. Press,False,high,"This paper studies media ideology measurement using ballot propositions, not the causal effect of a government policy on financial markets, firms, or investors."
10.1016/s0304-405x(99)00024-0,jfe,The adaptive mesh model: a new approach to efficient option pricing,False,high,This is a purely theoretical paper on numerical methods for option pricing with no empirical test of any government policy or regulation.
w22856,nber,A Shadow Rate New Keynesian Model,False,high,"This is a theoretical macroeconomic model paper that does not empirically test the causal effect of a specific government policy on financial markets, firms, or investors."
w25129,nber,Navigating Complex Financial Decisions at Retirement: Evidence from Annuity Choices in Public Sector Pensions,False,high,The paper studies individual retirement decision-making behavior within an existing pension plan rather than examining the causal effect of a specific government policy or regulation on financial outcomes.
w29463,nber,A Simple Model of Social Distancing and Vaccination,False,high,"This is a purely theoretical epidemiological model with no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w29665,nber,Occupational Licensing and the Healthcare Labor Market,False,high,"The paper studies labor market effects of occupational licensing policy rather than causal effects on financial markets, firms' financial outcomes, or investor behavior."
w5216,nber,Disease Complementarities and the Evaluation of Public Health Interventions,False,high,"This paper studies public health interventions and mortality prevention, not the causal effect of government policy on financial markets, firms, or investors."
w8080,nber,Education and Religion,False,high,"This paper studies the relationship between education and religious attendance/belief with no focus on government intervention, policy effects, or financial markets."
w28199,nber,Is Air Pollution Regulation Too Lenient? Evidence from US Offset Markets,False,high,"The paper's primary focus is assessing marginal costs and benefits of air pollution regulations rather than estimating the causal effect of a specific policy on financial markets, firms, or investors."
w14410,nber,"Railroads and the Rise of the Factory: Evidence for the United States, 1850-70",False,high,"The paper studies the causal effect of railroad infrastructure development on manufacturing organization, not the effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w8637,nber,The Factor Content of Trade,False,high,"This is a theoretical paper on international trade economics with no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w15709,nber,Limited Capital Market Participation and Human Capital Risk,False,high,This is a purely theoretical paper about asset pricing and portfolio theory with no empirical test of a specific government policy's causal effect.
w27903,nber,Emerging Markets Sovereign CDS Spreads During COVID-19: Economics versus Epidemiology News,False,high,This paper studies the relationship between COVID-19 news and CDS spreads rather than estimating the causal effect of a specific government policy or regulation on financial markets.
w28918,nber,Culture and the Family,False,high,"This handbook chapter examines cultural and family institutions without testing the causal effect of any specific government law, regulation, or public policy on financial markets, firms, or investors."
w27851,nber,Crisis Innovation,False,high,"The paper studies the causal effect of financial crises (exogenous shocks) on innovation, not the causal effect of a specific government law, regulation, or public policy."
w28648,nber,Mammograms and Mortality: How Has the Evidence Evolved?,False,high,"This paper concerns medical screening and cancer treatment outcomes, not the causal effect of government policy on financial markets, firms, or investors."
10.1016/j.jfineco.2006.11.002,jfe,Affirmative obligations and market making with inventory,False,high,"The primary policy variable is the NYSE's Price Continuity rule, which is an exchange rule imposed by a stock exchange without a specific government or regulatory mandate, falling under the exclusion criteria."
w31570,nber,The Search for Good Jobs: Evidence from a Six-year Field Experiment in Uganda,False,high,"The paper studies job search behavior and youth employment outcomes in Uganda, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w30504,nber,Zoning for Profits: How Public Finance Shapes Land Supply in China,False,high,"The paper studies government land supply decisions and their effect on real estate prices, not the causal effect of a specific law, regulation, or public policy on financial markets, firms, or investors."
w17526,nber,"Agricultural Policy, Migration, and Malaria in the 1930s United States",False,high,"The paper's primary research question concerns the causal effect of the Agricultural Adjustment Act on malaria incidence, not on financial markets, firms, or investors."
w24741,nber,Evolution of Modern Business Cycle Models: Accounting for the Great Recession,False,high,This is a purely theoretical paper reviewing the evolution of business cycle models without empirical testing of a specific government policy's causal effect.
t0187,nber,Selection Bias Adjustment in Treatment-Effect Models as a Method of Aggregation,False,high,"This is a purely theoretical econometric paper about treatment-effect models and selection bias methodology without any empirical application to a specific government policy's causal effects on financial markets, firms, or investors."
w4111,nber,Empirical Evidence for Collusion in the U.S. Auto Market?,True,high,The paper empirically tests the causal effect of a specific government policy (voluntary restraint arrangements with Japan) on firm pricing behavior and market outcomes in the auto industry.
w16615,nber,Urban Accounting and Welfare,False,high,"This is a theoretical paper on urban economics and city size distribution with no empirical test of a specific government policy's causal effect on financial markets, firms, or investors."
w10606,nber,Measuring the Growth from Better and Better Goods,False,high,"This paper is a measurement study of inflation and product quality using CPI data, with no causal analysis of a specific government policy's effects on financial markets or firms."
w17016,nber,"Socioeconomic Status in Childhood and Health After Age 70: A New Longitudinal Analysis for the U.S., 1895-2005",False,high,"This paper studies the relationship between childhood socioeconomic status and later health outcomes, with no primary research question about causal effects of government policy on financial markets, firms, or investors."
w26926,nber,The Economic Impact of a High National Minimum Wage: Evidence from the 1966 Fair Labor Standards Act,False,high,"The paper studies the economic impact of minimum wage policy on labor markets and workers, not on financial markets, firms' financial outcomes, or investor behavior."
w24094,nber,Food Deserts and the Causes of Nutritional Inequality,False,high,"This paper studies nutritional inequality and food access through supermarket entry and household behavior, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w19992,nber,"Trade, Skills, and Quality Upgrading: A Theory with Evidence from Colombia",False,high,"This is a trade theory paper with firm-level evidence on quality upgrading, not a causal study of a specific government law, regulation, or public policy intervention."
10.1093/rfs/hhg041,rfs,Equilibrium Investment Strategies and Output Price Behavior: A Real-Options Approach,False,high,This is a purely theoretical paper studying competitive dynamics and investment behavior with no empirical test of any government policy or regulation.
10.1111/jofi.13249,jf,Is There a Replication Crisis in Finance?,False,high,"This paper studies replication of asset pricing factors and statistical methodology in finance research, not the causal effect of a specific government policy on financial markets."
w20019,nber,How Consumers Respond to Environmental Certification and the Value of Energy Information,False,high,"The paper studies consumer response to a voluntary labeling program in the appliance market, not the causal effect of government policy on financial markets, firms, or investors."
w15985,nber,"The Contribution of Trade to Wage Inequality: The Role of Skill, Gender, and Nationality",False,high,"This paper studies the causal effect of international trade on wages, not the causal effect of a specific government law, regulation, or public policy on financial markets, firms, or investors."
w11594,nber,Wealth Transfers from Implementing Real-Time Retail Electricity Pricing,False,high,"The paper studies electricity pricing policy effects on consumer wealth distribution rather than financial markets, firms, or investors as primary subjects."
w11614,nber,"Trade Liberalization, Poverty, and Inequality: Evidence from Indian Districts",False,high,"The paper's primary focus is on poverty and inequality outcomes rather than effects on financial markets, firms, or investors."
w10433,nber,Schumpeterian Profits in the American Economy: Theory and Measurement,False,high,"This is a theoretical paper examining Schumpeterian profits and innovation returns without testing the causal effect of any specific government law, regulation, or public policy."
10.1016/j.jfineco.2023.103712,jfe,Disaster resilience and asset prices,False,high,"The paper studies how asset markets price disaster risk exposure during COVID-19, not the causal effect of a specific government policy intervention on financial markets."
w4304,nber,The Use of Monetary Aggregate to Target Nominal GDP,False,high,This is a theoretical paper proposing a monetary policy framework rather than empirically testing the causal effect of an actual government policy or regulation on financial outcomes.
10.1093/rfs/hhn077,rfs,Government Control of Privatized Firms,False,high,"This paper describes and analyzes the ownership structures of privatized firms and their relationship to legal/political systems, but does not estimate the causal effect of a specific government policy on financial markets, firms, or investor outcomes."
w11969,nber,From Forced Busing to Free Choice in Public Schools: Quasi-Experimental Evidence of Individual and General Effects,False,high,"The paper studies the causal effect of a public school policy on educational outcomes, not on financial markets, firms, or investors."
w27033,nber,"Beyond Reading, Writing, and Arithmetic: The Role of Teachers and Schools in Reporting Child Maltreatment",False,high,"This paper studies child maltreatment detection by educators rather than the causal effect of government policy on financial markets, firms, or investors."
w27731,nber,The Stable Transformation Path,False,high,This is a purely theoretical paper developing a macroeconomic modeling concept (Stable Transformation Path) with no empirical test of any specific government policy's causal effect.
w30888,nber,Measuring Returns to Experience Using Supervisor Ratings of Observed Performance: The Case of Classroom Teachers,False,high,"This paper studies returns to experience in teaching using supervisor ratings, which is a labor economics/education topic with no government policy intervention as the primary research question."
w10978,nber,Theft and Taxes,False,high,"The paper's primary focus is the relationship between taxation systems and insider behavior/governance outcomes, not the causal effect of a specific government law or policy on financial markets, firms, or investors."
w11606,nber,Euler Equation Errors,False,high,"This is a purely theoretical paper testing asset pricing models without examining the causal effect of any specific government policy, law, or regulation."
10.1016/j.jfineco.2013.02.019,jfe,The relation between equity incentives and misreporting: The role of risk-taking incentives,False,high,"This paper studies the relationship between manager equity incentives and misreporting behavior, which is private firm behavior, without a specific government law, regulation, or public policy as the primary research question."
10.1111/j.1540-6261.2007.01205.x,jf,Learning by Observing: Information Spillovers in the Execution and Valuation of Commercial Bank M&amp;As,False,high,"The paper's primary research question concerns how banks and investors learn from observing previous M&As, not the causal effect of a specific government law, regulation, or public policy on financial outcomes."
w29316,nber,Refining Set-Identification in VARs through Independence,False,high,This is a purely methodological paper about VAR identification techniques with no empirical application to government policy effects on financial markets.
10.1016/j.jfineco.2016.05.009,jfe,The volatility of a firm's assets and the leverage effect,False,high,"This paper studies the relationship between financial leverage and volatility in firms, which is a private firm financial behavior question with no government intervention, regulation, or public policy as the primary focus."
w8290,nber,Sticky Information Versus Sticky Prices: A Proposal to Replace the New Keynesian Phillips Curve,False,high,This is a purely theoretical paper proposing a macroeconomic model without empirical testing of any specific government policy's causal effect.
w6907,nber,Self-Protection for Emerging Market Economies,False,high,This appears to be a theoretical or descriptive paper about economic crises in emerging markets rather than empirical research estimating the causal effect of a specific government policy on financial outcomes.
w13322,nber,Close to You? Bias and Precision in Patent-Based Measures of Technological Proximity,False,high,This paper is methodological research on patent-based measurement techniques without a primary focus on estimating causal effects of government policy on financial markets or firms.
