journal,year,doi,title
JF,2000,10.1111/0022-1082.00212,"Effectiveness of Capital Regulation at U.S. Commercial Banks, 1985 to 1994"
JF,2003,10.1046/j.1540-6261.2003.00613.x,"Regulation Fair Disclosure and Earnings Information: Market, Analyst, and Corporate Responses"
JF,2003,10.1111/1540-6261.00551,Investor Protection and Firm Liquidity
JF,2004,10.1111/j.1540-6261.2004.00653.x,Toward a National Market System for U.S. Exchange–listed Equity Options
JF,2005,10.1111/j.1540-6261.2005.00724.x,Insider Trading Restrictions and Analysts' Incentives to Follow Firms
JF,2007,10.1111/j.1540-6261.2007.01293.x,How Laws and Institutions Shape Financial Contracts: The Case of Bank Loans
JF,2008,10.1111/j.1540-6261.2008.01372.x,Corporate Governance and Risk‐Taking
JF,2008,10.1111/j.1540-6261.2008.01402.x,“You Can Enter but You Cannot Leave…”: U.S. Securities Markets and Foreign Firms
JF,2008,10.1111/j.1540-6261.2008.01413.x,Mandatory Disclosure and Operational Risk: Evidence from Hedge Fund Registration
JF,2009,10.1111/j.1540-6261.2008.01428.x,It's SHO Time! Short‐Sale Price Tests and Market Quality
JF,2010,10.1111/j.1540-6261.2010.01564.x,"The Effect of SOX Section 404: Costs, Earnings Quality, and Stock Prices"
JF,2012,10.1111/j.1540-6261.2011.01713.x,"Why Does the Law Matter? Investor Protection and Its Effects on Investment, Finance, and Growth"
JF,2015,10.1111/jofi.12245,"Mandatory Portfolio Disclosure, Stock Liquidity, and Mutual Fund Performance"
JF,2016,10.1111/jofi.12421,Who Borrows from the Lender of Last Resort?
JF,2017,10.1111/jofi.12512,Selling Failed Banks
JF,2018,10.1111/jofi.12701,"Stealing Deposits: Deposit Insurance, Risk‐Taking, and the Removal of Market Discipline in Early 20<sup>th</sup>‐Century Banks"
JF,2019,10.1111/jofi.12829,Women's Liberation as a Financial Innovation
JF,2021,10.1111/jofi.13072,Leverage Regulation and Market Structure: A Structural Model of the U.K. Mortgage Market
JF,2021,10.1111/jofi.13079,Currency Mispricing and Dealer Balance Sheets
JF,2024,10.1111/jofi.13380,The SOE Premium and Government Support in China's Credit Market
JFE,2000,10.1016/s0304-405x(99)00061-6,"Eighths, sixteenths, and market depth: changes in tick size and liquidity provision on the NYSE"
JFE,2004,10.1016/j.jfineco.2003.10.001,Cross-country determinants of mergers and acquisitions
JFE,2004,10.1016/j.jfineco.2003.05.004,Informational effects of regulation FD: evidence from rating agencies
JFE,2005,10.1016/j.jfineco.2003.11.003,The impact of regulation on market risk
JFE,2006,10.1016/j.jfineco.2005.06.002,The economic consequences of increased disclosure: Evidence from international cross-listings☆
JFE,2007,10.1016/j.jfineco.2006.03.004,Private credit in 129 countries☆
JFE,2007,10.1016/j.jfineco.2006.03.002,Liquidity and market efficiency☆
JFE,2007,10.1016/j.jfineco.2005.12.003,Does backdating explain the stock price pattern around executive stock option grants?
JFE,2008,10.1016/j.jfineco.2007.06.002,Has New York become less competitive than London in global markets? Evaluating foreign listing choices over time☆
JFE,2010,10.1016/j.jfineco.2010.02.008,"Creditor rights, information sharing, and bank risk taking"
JFE,2010,10.1016/j.jfineco.2010.03.011,Paulson's gift
JFE,2010,10.1016/j.jfineco.2010.04.001,Identifying the effects of a lender of last resort on financial markets: Lessons from the founding of the fed☆
JFE,2010,10.1016/j.jfineco.2010.02.002,The Sarbanes-Oxley act and corporate investment: A structural assessment☆
JFE,2011,10.1016/j.jfineco.2011.03.020,Regulatory pressure and fire sales in the corporate bond market
JFE,2012,10.1016/j.jfineco.2011.04.002,The impact of investor protection law on corporate policy and performance: Evidence from the blue sky laws
JFE,2012,10.1016/j.jfineco.2012.01.004,Flow and stock effects of large-scale treasury purchases: Evidence on the importance of local supply
JFE,2013,10.1016/j.jfineco.2013.02.012,Worldwide reach of short selling regulations
JFE,2013,10.1016/j.jfineco.2013.08.017,Government policy and ownership of equity securities
JFE,2013,10.1016/j.jfineco.2013.03.010,Do personal taxes affect capital structure? Evidence from the 2003 tax cut
JFE,2014,10.1016/j.jfineco.2014.03.005,"Safer ratios, riskier portfolios: Banks׳ response to government aid"
JFE,2014,10.1016/j.jfineco.2013.11.004,"Trading rules, competition for order flow and market fragmentation"
JFE,2014,10.1016/j.jfineco.2014.07.005,Impact of the Dodd-Frank act on credit ratings
JFE,2015,10.1016/j.jfineco.2015.06.011,Government ownership and the cost of debt: Evidence from government investments in publicly traded firms
JFE,2016,10.1016/j.jfineco.2016.01.016,Bankruptcy law and bank financing
JFE,2016,10.1016/j.jfineco.2016.01.015,Taxes and bank capital structure
JFE,2016,10.1016/j.jfineco.2016.08.004,Should we be afraid of the dark? Dark trading and market quality
JFE,2016,10.1016/j.jfineco.2016.01.019,Does Dodd-Frank affect OTC transaction costs and liquidity? Evidence from real-time CDS trade reports
JFE,2016,10.1016/j.jfineco.2016.07.003,Mortgage companies and regulatory arbitrage
JFE,2016,10.1016/j.jfineco.2016.05.011,Taxes and leverage at multinational corporations
JFE,2018,10.1016/j.jfineco.2018.06.001,The Volcker Rule and corporate bond market making in times of stress
JFE,2018,10.1016/j.jfineco.2018.02.004,Quantitative easing auctions of Treasury bonds
JFE,2019,10.1016/j.jfineco.2019.02.010,Stress tests and small business lending
JFE,2019,10.1016/j.jfineco.2019.03.005,"Tick size, liquidity for small and large orders, and price informativeness: Evidence from the Tick Size Pilot Program"
JFE,2019,10.1016/j.jfineco.2018.07.018,The value of collateral in trade finance
JFE,2019,10.1016/j.jfineco.2018.09.010,Potential pilot problems: Treatment spillovers in financial regulatory experiments
JFE,2019,10.1016/j.jfineco.2019.02.003,Risky bank guarantees
JFE,2020,10.1016/j.jfineco.2019.08.003,Inspecting the mechanism of quantitative easing in the euro area
JFE,2020,10.1016/j.jfineco.2020.07.002,The price effects of liquidity shocks: A study of the SEC’s tick size experiment
JFE,2020,10.1016/j.jfineco.2020.03.004,Flying under the radar: The effects of short-sale disclosure rules on investor behavior and stock prices
JFE,2020,10.1016/j.jfineco.2020.04.009,The scarcity effect of QE on repo rates: Evidence from the euro area
JFE,2020,10.1016/j.jfineco.2020.04.016,Regulatory cooperation and foreign portfolio investment
