paper_id,published_top3,original_direction,strict_direction,rationale
w32215,False,0,1,"The abstract reports a positive finding: litigation induces firms to develop safer devices, and establishes that product liability litigation meaningfully affects technological progress in directions that enhance safety."
w17226,False,0,1,"The abstract reports that policy changes designed to stimulate generic uptake and reduce prices 'have been successful in some E.U. countries,' constituting a positive/beneficial finding despite hedging language about variation across contexts."
w27935,False,0,1,"The paper presents a substantive positive finding that joint optimization of accounting rules and capital regulation can improve regulatory design and enhance understanding of banking dynamics, demonstrating a beneficial contribution to banking theory and policy."
w19972,False,0,-1,"The abstract argues that regulatory reliance on ratings and risk-weighted capital requirements have caused distorted ratings, presenting a substantive negative finding about regulatory mechanisms' effects on rating quality."
w11723,False,0,0,"The abstract explicitly reports finding no effect of Medicaid policies on nursing home utilization, which is a null result, despite hedging language like 'suggesting.'"
w12253,False,0,-1,"The abstract reports statistically and economically significant negative effects on property values (4-12% decline) from proximity to sex offenders, which is a substantive directional finding despite the authors' caveat about alternative hypotheses."
w32770,False,0,0,"The abstract describes empirical relationships and patterns in bank payout behavior (how payouts respond to regulation, politics, and regulatory changes) without claiming any beneficial or harmful effect of an intervention or policy."
w29086,False,0,1,"The abstract reports substantive positive findings: recipients in Kenya strongly prefer mobile money transfers (95%), and the study demonstrates that financial infrastructure affects optimal aid disbursement with clear policy implications showing when each transfer type works better, indicating successful identification of context-dependent welfare improvements."
w15652,False,0,0,"The abstract presents a theoretical framework for analyzing credit easing and states they 'analyze and compare' interventions, but does not report empirical findings about whether credit easing actually worked, failed, or had mixed results."
w8493,False,0,-1,"The abstract substantively warns that deposit insurance can be harmful ('for ill') and explicitly challenges the wisdom of adopting it without addressing environmental weaknesses, indicating a negative finding about deposit insurance effectiveness in certain contexts."
w24706,False,0,1,"The paper presents a substantive directional finding that government guarantees constitute a large portion of banks' market-to-book ratio variation, demonstrating that previous explanations were incomplete and that government guarantees have significant positive value to banks."
w18431,False,0,1,"The abstract substantively claims that unconventional policies (credit facilities and foreign exchange intervention) are effective in relaxing financial frictions and improving outcomes, with specific findings that credit programs are more effective when targeted toward intermediaries and sterilized FX interventions matter for policy effectiveness."
w7495,False,0,0,"The abstract explicitly reports limited evidence of an increase that leveled off, without claiming a meaningful or sustained positive effect, and frames findings as a baseline for future comparison rather than establishing a directional conclusion about patent effectiveness."
w16787,False,0,0,The abstract reports empirical findings about safety-net benefits and bailout patterns (descriptive results) without claiming that any policy intervention or reform successfully reduced these benefits or improved outcomes.
w15472,False,0,1,"The abstract presents substantive directional findings: bankruptcy and default/foreclosure are complements, neighborhood effects exist, and importantly identifies that pro-creditor bankruptcy policies and pro-debtor wage garnishment policies can reduce foreclosures, which the authors frame as socially beneficial outcomes with positive policy implications."
10.1093/rfs/hhz067,True,0,-1,"The abstract demonstrates that stronger risk management alone is insufficient to constrain risky investments, and that risk management's effectiveness is considerably weaker under historical cost accounting, indicating regulatory limitations and potential ineffectiveness of proposed safeguards."
10.1016/j.jfineco.2023.103760,True,0,0,"The abstract presents a tradeoff between benefits (restoring market confidence) and harms (encouraging monoculture and reducing diversification) without identifying an overall positive or negative effect, concluding instead that optimal policy conditionally discloses depending on severity."
10.1093/rfs/hht079,True,0,-1,"The abstract explicitly identifies that ambiguity about hedge fund strategies 'has negative effects on market outcomes,' establishing a clear directional finding about harm."
10.1016/j.jfineco.2019.10.005,True,0,1,"The abstract identifies a substantive finding—a risk premium associated with implicit government guarantees—and provides a clear mechanism (sovereign risk inheritance) explaining this phenomenon, constituting a positive empirical discovery about how guarantees function."
10.1046/j.1540-6261.2003.00613.x,True,0,-1,"The abstract reports negative consequences of Reg FD: increased analyst forecast dispersion, greater difficulty in forming forecasts, and increased demands on investment professionals, indicating the regulation imposed costs that outweighed benefits."
10.1016/s0304-405x(99)00061-6,True,0,0,"The abstract presents mixed evidence: smaller spreads and improved liquidity for small order traders (positive), but reduced depth and worse outcomes for large order traders in low-volume/low-priced stocks (negative), without an overall directional conclusion."
10.1016/j.jfineco.2018.07.018,True,0,1,"The abstract reports a clear positive finding: improvement in suppliers' collateral rights resulted in increased trade credit supply and duration, demonstrating the beneficial value of collateral in trade finance."
10.1016/j.jfineco.2024.103913,True,0,-1,"The abstract contains a substantive negative finding: mandatory disclosure reduces welfare of all investors when insiders have large hedging needs, contradicting conventional wisdom."
10.1016/j.jfineco.2010.02.008,True,0,0,"The abstract reports mixed findings: stronger creditor rights promote both greater bank risk-taking and financial crisis likelihood (negative) while also increasing growth (positive), whereas information sharing shows universally positive effects; the overall directional message is inconclusive as it presents trade-offs rather than a single clear direction."
10.1016/j.jfineco.2016.01.016,True,0,0,"The abstract reports mixed directional findings: the 2005 reform increases interest rates and reduces investment (negative), while the 2006 reform reduces interest rates and spurs investment (positive), with no overall net conclusion presented."
10.1016/j.jfineco.2013.02.012,True,0,1,"The abstract reports that short selling restrictions successfully achieve their intended effect by curtailing home market stock borrowing (45%) and reducing short selling of ADRs (68%), demonstrating the regulations work as designed."
10.1111/j.1540-6261.2008.01428.x,True,0,0,"The abstract reports mixed results across different metrics and exchanges: some effects on trading patterns and spreads for NYSE stocks but unaffected returns/volatility and smaller effects for Nasdaq stocks, constituting genuinely inconclusive evidence rather than a substantive directional claim."
10.1093/rfs/hhr121,True,0,-1,"The abstract reports that CPP infusions did not have meaningful certification effects and increased investor expectations of regulatory intervention, indicating the intervention failed to achieve its intended certifying purpose."
10.1093/rfs/hhn108,True,0,-1,"The abstract reports a negative finding: investor protection had little impact on ownership dispersion, contradicting the expected beneficial effect of formal investor protection on corporate ownership structure."
10.1111/jofi.12245,True,0,1,"The abstract reports a positive finding that mandatory disclosure improves stock liquidity, which is a substantive beneficial outcome, despite noting costs to informed investors."
