paper_id,orig_in_scope,orig_conf,orig_reason,new_in_scope,new_conf,new_reason
w8493,True,high,"The paper examines the causal effects of explicit deposit insurance (a government policy) on financial outcomes across different countries, analyzing how policy design features interact with country characteristics to produce differential results.",True,high,"The paper empirically examines causal effects of deposit insurance design features (a specific government policy) on banking stability, financial development, and market discipline across countries."
w8594,True,high,"The paper uses event-study methodology to estimate the causal effect of banking deregulation (a specific government policy) on firm value, which is the primary research question.",True,high,The paper's primary research question is estimating the causal effects of financial deregulation (relaxing geographic and product-line restrictions on banks) on financial markets and institutions using event-study methodology.
w9323,True,high,"The paper empirically examines the causal relationship between specific government regulatory and supervisory practices and outcomes in banking sector development, efficiency, and fragility.",True,high,"The paper's primary research question is the causal effect of specific government regulations and supervisory practices (capital adequacy, deposit insurance design, information disclosure requirements, etc.) on banking-sector outcomes like development, efficiency, and fragility."
w9481,True,high,"The paper's primary research question concerns the causal effect of equity market liberalization policies on stock market outcomes, which is a specific government policy intervention.",True,high,"The paper's primary research question examines the causal effect of equity market liberalization (a specific government policy) on financial market outcomes (stock returns), with empirical analysis of performance patterns following liberalization."
w10475,True,high,The paper's primary research question examines the causal effect of specific government regulations (capital requirements and state bank supervision) on financial market outcomes (bank suspension rates) during the Great Depression.,True,high,"The paper empirically estimates the causal effects of specific government regulations (capital requirements, branch banking laws, reserve requirements, supervisory authority) on financial outcomes (bank suspension rates), which is a core government intervention study."
w10567,True,high,"The paper's primary research question is the causal effect of SEC Regulation Fair Disclosure (a specific government regulation) on financial outcomes, meeting all scope criteria.",True,high,The paper's primary research question is the causal effect of SEC Regulation Fair Disclosure (a specific government policy) on firms' cost of capital and financial markets.
w10908,True,medium,"The paper examines how deposit insurance policy (a specific government regulation) affects the relative importance of banks versus capital markets in financing investment across countries, which is a causal effect question about policy impact on financial markets.",True,high,"The paper's primary research question is the causal effect of deposit insurance policy on financial markets (equity market depth, number of publicly traded firms, and bank credit), estimated through both theoretical modeling and empirical evidence."
w11478,True,high,The paper examines the causal effect of a specific government regulation (1964 Securities Acts Amendments extending mandatory disclosure requirements) on financial market outcomes (stock returns).,True,high,"The paper's primary research question is the causal effect of the 1964 Securities Acts Amendments (a specific government regulation) on stock returns, estimated through event study and comparative analysis methods."
w12552,True,high,"The paper empirically tests the causal effect of specific government policies (inflation control and creditor rights laws) on local currency bond market development, which is the primary research question.",False,high,"The paper describes correlations between policy characteristics (inflation rates, creditor rights) and bond market development rather than estimating the causal effect of a specific government law, regulation, or policy intervention."
w12594,True,high,The paper empirically examines the causal effect of state-level deposit insurance policies (a specific government regulation) on bank suspensions and financial stability outcomes.,True,high,The paper estimates the causal effect of a specific government policy (state deposit insurance) on financial market outcomes (bank suspension composition and failure rates) using archival data from a natural experiment.
w12719,True,high,The paper examines the causal effect of deposit insurance (a specific government policy) on bank risk-taking behavior in financial markets using empirical regression analysis.,True,high,"The paper empirically examines the causal effects of deposit insurance (a government policy) on bank behavior and risk-taking in financial markets, testing the moral hazard hypothesis."
w12952,True,high,The paper evaluates the causal effect of the Sarbanes-Oxley Act (a specific government regulation) on shareholder outcomes by analyzing how different parties lobbied to influence its implementation.,True,high,The paper's primary research question is estimating the causal effect of the Sarbanes-Oxley Act on firm returns and shareholder value through empirical analysis of stock price reactions.
w14245,True,high,The paper's primary research question is the causal effect of the Sarbanes-Oxley Act (a specific government law) on foreign firms' decisions to deregister from U.S. equity markets.,True,high,The paper empirically tests the causal effects of specific government policies (Sarbanes-Oxley Act and SEC Exchange Act Rule 12h-6) on foreign firms' decisions to deregister from U.S. equity markets and on shareholder outcomes.
w14280,True,high,The paper empirically examines the causal effect of deposit insurance (a specific government policy) on depositor behavior and bank runs using micro-level withdrawal data.,True,high,"The paper's primary research question examines the causal effect of deposit insurance (a government policy) on bank runs and depositor behavior, using empirical micro-level data to estimate its effectiveness."
w14422,True,high,The paper estimates the causal effect of establishing the Federal Reserve as a lender of last resort (a specific government policy) on financial market stability using the founding of the Fed as a natural experiment.,True,high,"The paper's primary research question is the causal effect of establishing a lender of last resort (via the Aldrich-Vreeland Act and Federal Reserve Act) on financial market stability, tested through a historical natural experiment."
